ORDER_NUM,TRX_DT,RAW_TRX_DT,PRICE,CALC_VALUE,CALC_FORMULA,EXCEL_FORMULA,MEAN,SQUARE_OF_DIFF
"0","2019/08/23","8/23/2019 12:00:00 AM","$10.840","-0.0183","Natural Logarithm ($10.8400 / $11.0400)","=ln(D439/D438)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G439-H439)*(G439-H439)"
"0","2019/08/30","8/30/2019 12:00:00 AM","$11.100","0.0237","Natural Logarithm ($11.1000 / $10.8400)","=ln(D440/D439)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G440-H440)*(G440-H440)"
"0","2019/09/06","9/6/2019 12:00:00 AM","$11.150","0.0045","Natural Logarithm ($11.1500 / $11.1000)","=ln(D441/D440)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G441-H441)*(G441-H441)"
"0","2019/09/13","9/13/2019 12:00:00 AM","$11.520","0.0326","Natural Logarithm ($11.5200 / $11.1500)","=ln(D442/D441)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G442-H442)*(G442-H442)"
"0","2019/09/20","9/20/2019 12:00:00 AM","$11.440","-0.0070","Natural Logarithm ($11.4400 / $11.5200)","=ln(D443/D442)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G443-H443)*(G443-H443)"
"0","2019/09/27","9/27/2019 12:00:00 AM","$11.590","0.0130","Natural Logarithm ($11.5900 / $11.4400)","=ln(D444/D443)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G444-H444)*(G444-H444)"
"0","2019/10/04","10/4/2019 12:00:00 AM","$11.320","-0.0236","Natural Logarithm ($11.3200 / $11.5900)","=ln(D445/D444)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G445-H445)*(G445-H445)"
"0","2019/10/11","10/11/2019 12:00:00 AM","$11.600","0.0244","Natural Logarithm ($11.6000 / $11.3200)","=ln(D446/D445)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G446-H446)*(G446-H446)"
"0","2019/10/18","10/18/2019 12:00:00 AM","$12.145","0.0459","Natural Logarithm ($12.1450 / $11.6000)","=ln(D447/D446)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G447-H447)*(G447-H447)"
"0","2019/10/25","10/25/2019 12:00:00 AM","$12.490","0.0280","Natural Logarithm ($12.4900 / $12.1450)","=ln(D448/D447)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G448-H448)*(G448-H448)"
